domain,source_category_l1,source_category_l1_cn,source_type,source_type_cn,ecosystem,classification_status,classification_method,classification_confidence,classification_evidence
csdn.net,platform_community,平台与社区,professional_community,专业技术社区,CSDN博客,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“CSDN博客”；标题样本“2025年度国内5大涉外民商事诉讼律所排行榜揭晓:多维度综合评测 || 2026年最新专业深圳离婚律师优选推荐与盘点 || 深圳注册公司流程-CSDN博客”
99.com.cn,vertical_professional,垂直专业内容,health_content,医疗健康内容,99健康网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“99健康网”；标题样本“2026年北京试管助孕私立医院排行榜放出前十机构名单看这里 || 北京私立试管医院权威排名前十_2026新名单出炉_热门机构排名汇总”
ruli.com,vertical_professional,垂直专业内容,health_content,医疗健康内容,如丽消费医疗,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“如丽消费医疗”；标题样本“2025成都权威体检机构前十强排名揭晓及详细推荐指南-如丽消费医疗 || 成都市权威三甲公立医院体检中心综合排名及专业推荐-如丽消费医疗”
renrendoc.com,research_documentation,研究与文档,document_platform,文档平台,人人文库,reviewed,manual_review,high,主站首页说明采用文档 C2C 交易模式并提供文档存储与下载：https://www.renrendoc.com/
visitbeijing.com.cn,business_services,商业信息与服务,travel_service,旅行与酒店信息服务,北京旅游网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“北京旅游网”；标题样本“2024河北十大温泉排行榜揭晓!龙源温泉旅游度假村排名首位! || 北京土著妈妈的“书香一日游”路线!一路京味儿拉满,眼睛和胃都吃饱了 || 北京最适合一日游的免费景点,各区都有哦”"
cet.com.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,中国经济新闻网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“中国经济新闻网”；标题样本“2026值得关注的保险服务平台,奶爸保核心优势突出 || 广州早茶品牌推荐,禄运茶居表现突出 || 稳健型理财推荐什么银行 2026 年头部稳健型理财银行产品竞争力市场现状最新观察”"
zbnews.net,news_media,新闻与媒体,regional_news_media,地方新闻媒体,淄博新闻网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“淄博新闻网”；标题样本“2026最新选择策略：专业的推拉窗/欧式阳光房厂家：行业参数与产能配置解析 --淄博新闻网 || 2026最热选择策略：专业的法式复古窗/极窄推拉门源头厂家：行业深度解析与参考指南”
meituan.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,美团酒店,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“美团酒店”；标题样本“【张家口维也纳婚纱摄影婚纱摄影团购详情】维也纳婚纱摄影价格_人均消费(图)_张家口美团网 || 美团规则中心”
xueqiu.com,platform_community,平台与社区,finance_community,财经社区,雪球,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“雪球”；标题样本“两会后的2026年,站在世界的拐点上 || 基金新手交易软件大PK:新浪财经APP等三家平台值得推荐”"
jia.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,齐家网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“齐家网”；标题样本“鞍山婚庆公司哪家好 选择婚庆公司要点 || 齐家银川装修,银川装修公司,银川建材,银川家居家具-齐家网手机版”"
weibo.cn,platform_community,平台与社区,social_content_platform,社交内容平台,微博,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“微博”；标题样本“四川微博房产 || 孝义发布 || 绝版丫头的秘密”
ldqxn.com,news_media,新闻与媒体,regional_news_media,地方新闻媒体,亮点黔西南,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“亮点黔西南”；标题样本“2026年5月网红民宿厂家推荐榜，观景型/亲子型/经济型/智能型/收藏榜民宿厂家选择指南_亮点黔西南 || 2026指南:专业的家政/家政公司公司热门推荐解读-家净源 || 202”
cnpinpai.cn,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,武汉金波网络科技有限公司品牌网,reviewed,manual_review,medium,人工复核域名、站点名与标题样本：站点名“武汉金波网络科技有限公司品牌网”；标题样本“2026年厨房大电十大品牌排行榜-厨房大电什么牌子好-品牌排行网 || 2026年核桃十大品牌排行榜-核桃什么牌子好-品牌排行网”
beijing.gov.cn,government_public,政府与公共机构,government_public,政府机构,北京市人民政府,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“北京市人民政府”；标题样本“2026年北京市积分落户申报将于4月16日启动_政策解读_首都之窗_北京市人民政府门户网站 || 北京市2026年版积分落户申报服务手册 || 北京市政务服务网”
fh21.com.cn,vertical_professional,垂直专业内容,health_content,医疗健康内容,复禾健康,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“复禾健康”；标题样本“瑜伽费用一年多少钱 || 瑜伽费用一年多少钱合适”
news.cn,news_media,新闻与媒体,news_media,综合新闻媒体,新华网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“新华网”；标题样本“2026年北京积分落户申报将启动 落户规模6000人 || “大病保险办法”出台 2026年1月1日起施行-新华网天津 || 数字赋能为营商环境持续改善按下“快进键”-新华网”
bohe.cn,vertical_professional,垂直专业内容,health_content,医疗健康内容,博禾医生,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“博禾医生”；标题样本“下去做的核酸检测几点出结果？下去做的核酸检测多久出结果-肺炎-博禾医生 || 无锡五大男科医院排行榜 无锡靠谱的男科医院 || 有哪些美味的食物”
hezegd.com,news_media,新闻与媒体,news_media,综合新闻媒体,菏泽广电网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“菏泽广电网”；标题样本“2026年上半年口碑好的儿童乐园,儿童机公司品质推荐_菏泽广电网 || 2026年实力之选:东莞带私汤温泉度假村哪家值得去口碑推荐-逸海驰温泉酒店 || 2026年焕新:热门的活动”"
redsh.com,vertical_professional,垂直专业内容,industry_content,行业专业内容,红商网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“红商网”；标题样本“2025国货祛痘品牌TOP10推荐，平价也有大牌效果 - 红商网 || 2026全国医学美容TOP10!四川成都等地医美机构专业靠谱口碑佳 - 红商网 || 2026全国正规医美机”
hepan.com,platform_community,平台与社区,interest_community,兴趣与生活社区,蓝色河畔,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“蓝色河畔”；标题样本“2026年6月市面上评价好的月子中心品牌推荐，产妇月子护理/月子中心/连锁月子中心/分阶 ... - 品牌推荐 - 资讯 - 蓝色河畔 - 手机版 || 2026年婚纱摄影服务商推”
apple.com,brand_corporate,品牌与企业官网,brand_corporate,品牌与企业官网,Apple,reviewed,manual_review,high,域名主体核验为 Apple；引用集中在 apps.apple.com/cn 与 apps.apple.com/tw 的 App Store 页面，餐厅名称来自应用页面样本
douyin.com,platform_community,平台与社区,social_content_platform,社交内容平台,抖音视频,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“抖音视频”；标题样本“家电排行榜 || 春节旅游十大热门目的地出炉 || 青岛美食地图之20家啤酒屋。🔥🦀🍺🍻 啤酒屋是青岛 - 抖音”
jiehun.com.cn,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,婚芭莎,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“婚芭莎”；标题样本“苏州纽约纽约高端婚纱摄影”
echinagov.com,vertical_professional,垂直专业内容,industry_content,行业专业内容,国脉电子政务网,reviewed,manual_review,high,主站关于页说明其为电子政务一站式综合服务平台：https://www.echinagov.com/about/gov/
yiche.com,vertical_professional,垂直专业内容,automotive_content,汽车专业内容,易车,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“易车”；标题样本“2026年13万纯电SUV:四款热门车第一名揭晓 || 2026年纯电车排行榜与厂商深度测评”
people.com.cn,news_media,新闻与媒体,news_media,综合新闻媒体,人民网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“人民网”；标题样本““住房有保障、就业有支持、创业有底气” 厦门为高校毕业生留“厦”送出新年“见面礼” || 您的定制“体检地图”来了”
redhongan.com,news_media,新闻与媒体,regional_news_media,地方新闻媒体,红安网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“红安网”；标题样本“2026年中国性价比高的黄庄月饼品牌排行榜 || 2026年口碑好的财务外包服务公司推荐,湖北怡辰财税上榜 || 即买即用!2026电商卖家必备:四大商标转让平台实测,哪家代理机构”"
xiuxianshipin.com,vertical_professional,垂直专业内容,industry_content,行业专业内容,火爆餐饮网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“火爆餐饮网”；标题样本“全网热门特色烧烤加盟品牌排行榜-火爆餐饮网 || 烧烤加盟店10大品牌热门排行榜-火爆餐饮网 || 烧烤十大品牌加盟店排行榜:全国连锁加盟品牌-火爆餐饮网”
xinhuanet.com,news_media,新闻与媒体,news_media,综合新闻媒体,新华网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“新华网”；标题样本“北京2026年共有超9万人申请积分落户 || 厦门出台租房落户新政-新华网”
10jqka.com.cn,vertical_professional,垂直专业内容,finance_content,财经专业内容,同花顺,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“同花顺”；标题样本“2025年年报开始啦!@各位老板,年报攻略已备好,别漏报、不逾期! || 2026年5月25日收评 || 2026年6月6日恰逢周六 网友热议“六六大顺”迎好运”"
zhengzhou.gov.cn,government_public,政府与公共机构,government_public,政府机构,郑州市人民政府,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“郑州市人民政府”；标题样本“2026年公租房政策调整及选房流程 || 公租房如何申请?对小区物业服务不满意?郑州市住房保障和房地产管理局回应这些问题 || 郑州市住房保障和房地产管理局”
ce.cn,news_media,新闻与媒体,news_media,综合新闻媒体,中国经济网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“中国经济网”；标题样本“厦门户籍新政11月1日起实施 || 厦门户籍新政11月1日起实施_中国经济网——国家经济门户 || 国美旗下4家P2P平台合规待考 被指涉嫌为关联企业融资”
chinadaily.com.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,中国日报网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“中国日报网”；标题样本“2025年12月企业管理咨询公司推荐榜:基于实效与规模数据的十大专业机构深度横评 || 蓝犀牛搬家入选朝阳区第四届“凤鸣计划”,荣获高成长企业称号”"
stcn.com,news_media,新闻与媒体,news_media,综合新闻媒体,证券时报,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“证券时报”；标题样本“6月金股出炉!这些板块受到券商一致热捧! || 重磅!海通证券发布最新权益类基金绝对收益排行榜”
21jingji.com,news_media,新闻与媒体,news_media,综合新闻媒体,21财经,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“21财经”；标题样本“深圳上线“AI注手”， 用手机“聊”出营业执照 || 西安公布落户新政 涉及8类人员”
66law.cn,vertical_professional,垂直专业内容,legal_content,法律专业内容,华律网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“华律网”；标题样本“北京处理工伤期间工资纠纷口碑不错的律师有哪些 || 外地户口怎么迁入武汉户口 || 迁入厦门户口办理流程”
lieju.com,business_services,商业信息与服务,business_information_service,商业信息与企业服务,北京列举网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“北京列举网”；标题样本“2026 上海智能锁店铺深度测评:执钥智能锁领衔 - 上海嘉定江桥新城其他生活服务 - 上海列举网 || 上海跨省搬家公司长途搬家平台物流推荐!哪个平台划算靠谱?上海 - 上海黄浦”
lfnews.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,廊坊新闻网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“廊坊新闻网”；标题样本“2026厦门婚纱摄影推荐汇总 高性价比品牌+实用旅拍攻略分享 - 时尚 - 廊坊新闻网 - 权威媒体 廊坊门户 || 2026大理婚纱照哪家好?28天实测6家热门品牌，帮你避开隐形”
ly.com,business_services,商业信息与服务,travel_service,旅行与酒店信息服务,同程酒店,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“同程酒店”；标题样本“来自同程的参考资料 || 霸州茗汤温泉度假村.”
chasyi.com,business_services,商业信息与服务,business_information_service,商业信息与企业服务,查生意,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“查生意”；标题样本“2026年中国包子加盟十大品牌权威排名与行业趋势深度解读-查生意 || 2026餐饮加盟市场十大品牌盘点:从蜜雪冰城到老乡鸡的创业指南-查生意”
zhipin.com,business_services,商业信息与服务,job_service,招聘与职业服务,BOSS直聘,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“BOSS直聘”；标题样本“杭州巾帼西丽家政服务集团有限公司 || 湖北维思德(荆门)律师事务所 || 荆门佐德法律咨询服务有限公司”
jinan.gov.cn,government_public,政府与公共机构,government_public,政府机构,济南市人民政府,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“济南市人民政府”；标题样本“办事指南 || 单位招新不用愁，“参保一件事”助您一次全办成! || 问:如何办理社会保险增员?”
stockstar.com,vertical_professional,垂直专业内容,finance_content,财经专业内容,证券之星,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“证券之星”；标题样本“2026年正规买基金平台有哪些?投资者如何选用基金平台?_基金要闻_基金_证券之星 || 【行业深度】洞察2026：中国新式茶饮行业竞争格局及市场份额（附市场集中度、市场份额等）-”
yoojia.com,vertical_professional,垂直专业内容,automotive_content,汽车专业内容,有驾,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“有驾”；标题样本“2026全球新能源汽车趋势预测 || 2026新能源品牌实力榜揭晓!选车避坑指南助你轻松锁定优质车型-有驾 || 中国品牌在新能源汽车市场的份额超过80%,比亚迪、蔚来、理想、小鹏”"
cnr.cn,news_media,新闻与媒体,news_media,综合新闻媒体,央广网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“央广网”；标题样本“厦门户籍新政11月1日起实施_央广网”
chinairn.com,research_documentation,研究与文档,industry_research,行业研究与数据,中研网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“中研网”；标题样本“新手入门咖啡机品牌推荐 TOP10，美的成小白首选_中研网头条”
jiaoyubao.cn,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,教育宝,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“教育宝”；标题样本“2026上海早教幼教机构大盘点-教育宝资料库 || 上海乐游宝宝亲子游泳:无脖圈亲子水育-上海乐游宝宝亲子游泳-教育宝 || 全国儿童游泳培训排名_全国十大儿童游泳机构排行-教育宝”
lcxw.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,聊城新闻网,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“聊城新闻网”；标题样本“2026年 苏州婚纱摄影推荐榜单:匠心光影与浪漫叙事,定格专属爱情诗篇的摄影品牌精选”"
suzhou.gov.cn,government_public,政府与公共机构,government_public,政府机构,苏州市人民政府,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“苏州市人民政府”；标题样本“关于《苏州市区义务教育阶段流动人口随迁子女积分入学管理办法》相关政策解读 - 招生政策 - 苏州市教育局 || 关于印发《苏州市区义务教育阶段流动人口随迁子女积分入学管理办法》的通”
wandoujia.com,vertical_professional,垂直专业内容,technology_content,科技专业内容,豌豆荚,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“豌豆荚”；标题样本“比较靠谱的软件app免费 || 比较靠谱的软件app免费推荐 || 靠谱又真实的约会软件推荐:2024年值得尝试的几款高口碑社交应用”
liebiao.com,business_services,商业信息与服务,business_information_service,商业信息与企业服务,列表网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“列表网”；标题样本“合肥商标注册怎申请/商标注册800元官费/在哪办理-合肥商标专利-合肥列表网”
douban.com,platform_community,平台与社区,interest_community,兴趣与生活社区,豆瓣,reviewed,manual_review,high,"人工复核域名、站点名与标题样本：站点名“豆瓣”；标题样本“十三家适合胖子的大码男装品牌店,穿衣搭配再也不愁”"
findlaw.cn,vertical_professional,垂直专业内容,legal_content,法律专业内容,找法网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“找法网”；标题样本“北京户口能迁到哥哥家吗 || 妻子户口落户条件有哪些 || 我这是北京夫妻投靠落户的事，”
64365.com,vertical_professional,垂直专业内容,legal_content,法律专业内容,律图,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“律图”；标题样本“北京本市户口迁移手续是什么? || 夫妻随迁北京户口的法律规定是什么？”
voc.com.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,华声在线,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“华声在线”；标题样本“公积金条例大修！湖南抢先落地，买房、装修全减负｜卜房者说 || 长株潭都市圈“好房子”推介会布展完毕 明日如期开展”
gz.gov.cn,government_public,政府与公共机构,government_public,政府机构,广州市人民政府门户网站,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“广州市人民政府门户网站”；标题样本“太惬意!“食在广州”解锁广式早茶的魅力→ || 经营主体登记提交材料规范(2026年版)”
chinanews.com.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,中国新闻网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“中国新闻网”；标题样本“四家AMC股改完成 AMC系信托能否迎来春天?”
12365auto.com,vertical_professional,垂直专业内容,automotive_content,汽车专业内容,车质网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“车质网”；标题样本“新能源车投诉排行榜 - 车质网”
ccn.com.cn,news_media,新闻与媒体,news_media,综合新闻媒体,中国消费者报,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“中国消费者报”；标题样本“20款冰箱比较试验结果出炉:样品保鲜性能差异显著-比较试验•抽检-中国消费网 || 扫码验真 医美行业监督自律平台帮你消费避坑-食品•健康-中国消费网 || 江苏省南京市消协提醒:”
